mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,mfcc_std_20,label_speaker
-187.17723,97.08646,38.858795,24.045395,14.084231,11.252597,15.345121,11.636944,-10.570185,5.8321953,-3.9218442,-3.7573829,-3.0927718,0.048256744,-1.9368877,1.8998,0.33232465,0.98025405,-5.311148,-2.6411233,63.051315,20.617815,17.00313,15.1480055,7.438659,9.04069,8.153023,6.373286,19.87386,7.873034,7.8494267,9.311136,9.445879,3.5811288,2.999352,3.1994762,7.2899337,4.431736,5.024166,4.5041246,Abdi
-191.72269,96.51725,37.201645,23.53474,13.148021,10.372851,15.709452,9.729619,-10.364145,4.1331434,-2.590426,-3.5352173,-1.6042143,1.4013526,-1.6731994,0.040984593,-1.743145,2.01398,-6.247417,-2.4258025,67.24577,19.11339,11.576292,15.438745,7.5028677,10.231972,7.802912,5.2301426,20.873951,7.6120944,6.7835054,9.077916,8.242661,4.543944,2.6974196,3.3930178,6.332613,4.827876,6.776589,5.1965847,Abdi
-181.34152,96.321495,37.34012,25.824574,15.543552,9.048161,16.901134,9.854316,-9.632961,4.3847017,-2.2746108,-4.8618665,-2.9648356,1.2036355,-0.828082,1.296242,-0.7274888,3.906781,-4.914768,-0.31094578,61.923084,19.011215,13.635533,13.891071,7.4991117,10.731707,10.067168,6.3207607,19.506422,6.3095675,7.8763423,9.662356,8.314899,5.3838906,3.5469396,3.317035,5.8367534,4.967882,7.184761,4.1078763,Abdi
-183.28424,91.68151,38.108685,24.777672,14.829194,12.889161,17.441917,10.356744,-7.019424,6.6069884,-1.2757072,-2.2743545,-1.8220775,0.71387,-0.36934128,1.0897253,0.12714013,0.2754033,-5.173748,-2.215629,53.764877,19.864029,14.6635895,12.596088,7.414772,9.85966,9.300953,5.2381444,16.710247,7.5701194,7.3868084,8.059419,7.813396,3.7657888,4.1949377,4.4512887,5.2383337,3.7541761,5.429567,3.9560826,Abdi
-191.6295,91.68022,37.169083,25.31641,15.978495,12.589034,18.050508,11.402873,-7.4110923,5.071416,-4.8659964,-2.4984055,-2.1001215,-0.14676337,-1.5896864,2.4837391,0.38388485,1.5980415,-4.0135465,-3.6649258,55.381317,17.573935,14.456136,11.921176,7.239173,8.801426,7.663485,5.3904963,20.244707,7.551081,6.702313,10.302735,7.546154,2.8526142,3.0657346,3.1151333,5.8382177,4.315039,6.0485873,4.8238897,Abdi
-169.2612,97.684525,37.551018,25.984118,14.939557,12.494711,13.071387,5.221211,-5.982867,1.2961266,-6.1344857,-2.0139263,-1.6957414,-0.6185131,-1.6170294,1.6708266,-0.8732836,0.7479363,-1.3493781,-2.3501384,43.324917,18.611462,10.871182,9.549405,6.263944,7.719912,5.150356,6.3446827,15.139107,4.667659,8.489478,8.470442,6.437289,5.1904383,3.059354,3.9216833,4.4985023,4.2824655,3.3310578,5.446371,Abdi
-162.82132,91.57074,37.86634,23.68155,14.9583235,12.574475,13.188555,5.671369,-2.9090586,4.885889,-3.4815795,0.26725468,-0.077314086,0.29103342,-1.1027336,1.621413,0.42987004,0.40071717,-2.2649558,-2.4788728,38.32671,17.350348,10.174121,10.577422,7.3274207,6.2697544,5.998621,6.7539344,12.840334,4.6514688,7.2451477,8.527364,5.029272,4.5986576,3.8430057,3.8756456,4.1884704,3.1181102,4.3427896,4.711425,Abdi
-172.16873,102.39955,40.822266,23.209208,12.907053,9.359598,11.531156,7.112104,-6.0337286,4.2368865,-4.7937655,-1.7327322,-2.9091756,-3.4231796,-5.013907,2.5958588,1.6786158,1.2073808,0.591746,-0.66274637,52.27228,20.657812,14.21637,13.235706,6.6565566,9.840449,4.0233164,8.031914,13.975858,4.455036,8.878016,13.420516,10.107421,6.935202,5.323381,4.7780313,5.2095714,4.054003,4.9305096,3.8052552,Abdi
-113.48717,88.931786,30.582426,19.71908,11.980281,9.367773,11.313765,4.8345194,-4.3440423,3.2893,-0.6676186,1.8864405,-0.15392363,-2.2795205,-1.8670257,1.5251962,-2.5928936,2.2064002,-0.9689074,-1.468935,60.720108,20.599888,12.150994,11.491625,8.684892,7.8975797,7.335396,7.934684,11.411073,5.0407467,6.7909,6.5061765,6.1804676,5.7172294,4.2332,4.316818,5.9391007,4.1687813,5.1768613,6.395324,Abdi
-159.74094,95.59698,35.70577,23.086466,14.265404,9.425023,12.617849,4.635739,-2.2925138,1.8007759,-2.8633902,-0.3514639,-0.8977546,-2.1282449,-2.5196517,1.2367132,-1.070453,1.4411235,-1.4780207,-1.0296577,50.72489,16.9339,10.920979,11.980151,7.136901,8.683358,8.24943,6.319566,11.62762,5.616148,6.8335824,7.7229514,7.2062774,5.222153,3.5624635,4.5906525,4.915782,4.854528,4.487592,4.7828135,Abdi
-161.8905,102.69119,33.070644,21.86022,12.026627,9.342377,11.638469,1.1715094,-3.729341,3.6597288,-1.4159306,1.1084006,0.009741615,-3.7181313,-3.1911168,1.7662294,-0.8882359,0.64063096,-2.733789,-2.8952353,55.59519,15.533737,10.967695,13.033256,6.005859,9.385994,6.644246,8.024462,13.067521,7.5212893,9.138112,8.766126,8.813841,6.530558,3.595138,5.0210605,5.09787,4.8870068,4.5944066,5.90108,Abdi
-176.43884,103.52655,38.883865,26.669897,13.063102,8.888994,10.9334545,2.5598984,-6.5035515,3.711657,-3.200101,-0.33438173,-1.3285948,-3.4330313,-5.2464952,0.560967,0.028987136,2.3825753,-1.2986536,-1.6530648,46.65311,18.489841,14.000296,9.7923975,6.904248,9.5301285,6.849156,7.441803,13.432145,6.3454595,7.072604,8.362468,7.1128483,6.002078,4.627484,3.6449947,5.3876257,4.6355247,5.2254167,4.5256767,Abdi
-196.46129,103.665924,41.59515,30.166588,13.815845,7.2575183,9.691174,8.263737,-1.3390096,4.608025,-3.3700335,-5.8257074,-4.3159347,-3.0783105,-7.5713744,-1.7092658,1.556778,1.731213,1.9119366,0.60147446,30.206623,18.675377,15.054938,7.4603105,5.225176,10.354312,3.608617,3.7669487,8.206226,5.7728424,5.0899916,10.474036,8.338543,6.817735,6.483234,3.7926986,5.9424977,3.0367928,6.2277875,3.095839,Abdi
-161.4417,101.476006,36.377487,24.698843,14.272056,8.73056,12.003645,3.7983408,-4.25383,3.68601,-3.9378595,-0.9852052,-0.7060098,-3.4741821,-4.2683735,0.104883455,-1.5549148,2.1032364,-0.14718325,-3.0553248,45.468975,13.272702,11.303598,9.81098,5.824515,7.8778663,6.614317,5.8801622,12.376388,5.046491,5.955946,6.8225837,7.7609925,5.6699452,4.1424856,3.8838193,6.1397886,4.327165,4.1551294,5.6897335,Abdi
-174.55963,103.24237,40.170425,26.942385,11.429043,5.974274,12.456349,8.973005,-9.388674,4.6459494,-6.1889725,-6.2658544,-4.5703254,-4.1070833,-6.421829,-0.4171069,2.379213,1.2616475,-1.0034488,-1.4479449,50.5371,17.018948,15.446496,11.900959,7.0544086,9.922691,5.541614,8.527752,12.695427,6.6357656,8.854734,13.6489525,8.009541,4.4102035,4.293017,3.7297993,6.321672,4.852575,5.1722503,5.113313,Abdi
-203.06654,92.60432,35.852947,19.769989,14.93547,9.308242,11.828081,4.541793,-2.819678,6.1804886,-5.8131366,0.41718897,-0.66051745,-1.8944736,-4.982241,-0.105143204,-1.8224133,-0.48751268,1.3707447,-1.533993,65.39515,17.78428,11.532772,10.80912,8.471347,8.090196,7.0607953,4.9405494,11.948482,5.48178,7.451469,8.080552,6.92103,6.320214,6.405078,5.4493904,4.4061656,3.677453,4.967941,5.500036,Abdi
-190.42096,103.72714,39.862038,28.929731,12.268625,6.463436,11.373045,7.1233597,-6.162089,5.054496,-7.7362766,-6.8160615,-2.4722736,-2.223659,-5.4587607,2.6927788,2.6767817,0.44026378,1.8711574,-0.44202736,35.84997,16.069899,14.068548,8.857188,9.024807,11.280688,4.742037,7.4456544,10.575233,6.344293,11.491063,11.718236,8.600182,5.3598886,4.50481,5.312697,4.7492757,3.7638986,6.1666226,3.0637038,Abdi
-187.50763,103.44253,30.734903,23.492653,13.878622,8.24634,9.685971,2.6063864,-7.8268185,4.5527205,-3.553503,-0.46759117,-0.8244877,-4.0719304,-5.0641217,1.5611831,-2.1356964,-0.49012333,-0.89934146,-0.37465042,69.892365,17.447193,17.053635,14.0840645,4.954364,9.676081,5.004493,6.79226,15.784496,6.138533,6.4643564,6.849184,8.906353,6.4049306,4.788839,4.239734,4.3395443,4.1813035,5.7663713,3.7645707,Abdi
-168.96643,104.571785,35.12265,22.846008,14.864128,10.406465,10.973185,6.576334,-5.505159,2.3820772,-2.5902696,1.5976086,0.8690251,-1.1131347,-3.780584,1.1534303,-1.711938,0.60282016,-0.1947636,-1.8410889,45.468983,17.336802,11.491997,11.437339,4.7693877,7.5958204,6.6497073,2.4040406,13.609065,5.304999,8.298374,7.792736,10.823031,3.9806874,3.0190225,4.3021665,4.937755,5.025967,3.3489664,4.9730234,Abdi
-179.70157,105.022736,31.927242,22.711617,11.932909,9.8710375,11.982905,1.5134271,-7.118641,2.838085,-2.1598709,0.5752926,0.07135362,-3.9044516,-3.9266357,-1.4092764,-3.1448298,0.83042717,-0.16001335,-2.1412768,56.21082,21.916353,17.64524,8.91019,9.030147,9.148029,6.442386,8.865802,13.073928,5.5429206,7.2331195,10.537739,8.877695,6.943234,4.838637,3.4844484,5.993241,5.9589934,5.065555,3.9693458,Abdi
-185.12183,102.839516,30.516184,13.5051365,12.526788,5.5038357,8.170747,-1.0195357,-7.968128,2.8589075,0.36670867,2.2922807,-0.9102161,-5.6617265,-1.886642,1.1269418,-2.4261842,0.41316983,-0.732855,-2.5120463,57.155106,22.584728,14.260388,11.745214,6.258306,10.765306,6.7861843,9.144819,12.800658,6.044379,7.439733,9.522547,7.01418,6.4677444,5.303877,5.8760185,5.5631475,3.6087728,4.412808,5.526256,Abdi
-173.54178,106.807274,35.181713,24.658787,14.623642,9.786046,10.554729,3.660811,-4.7925773,2.4853952,-0.8413964,0.45220387,0.85173297,0.84497833,-0.0030358387,2.586576,0.72566056,2.4716465,-2.7021236,-0.22299364,44.60197,16.421753,11.164702,10.71128,5.9963083,6.758136,5.5055103,7.463671,14.401338,5.6260004,5.412413,7.67205,7.758322,5.0248528,2.7594128,4.2323403,3.8844173,3.8929207,4.124911,5.660149,Abdi
