mfcc_std_11,mfcc_std_1,mfcc_std_16,mfcc_mean_11,mfcc_mean_1,mfcc_std_5,mfcc_std_8,mfcc_mean_3,mfcc_mean_4,mfcc_mean_17,mfcc_std_15,mfcc_mean_2,mfcc_mean_15,mfcc_mean_18,mfcc_std_9,mfcc_std_18,mfcc_mean_9,mfcc_std_3,mfcc_mean_20,mfcc_std_19,mfcc_std_2,mfcc_mean_16,mfcc_std_4,mfcc_std_17,mfcc_mean_13,mfcc_std_14,mfcc_std_6,mfcc_std_10,mfcc_mean_14,mfcc_mean_8,mfcc_std_12,mfcc_mean_6,mfcc_mean_12,mfcc_mean_7,mfcc_mean_10,mfcc_mean_19,mfcc_std_20,mfcc_mean_5,mfcc_std_13,label_speaker
7.0725794,65.24091,3.4408915,-1.3876123,-206.55853,8.87736,6.055976,35.164295,24.29731,-2.4864924,4.0303783,91.67181,-2.2187521,1.5464895,20.380648,4.2842784,-10.240855,15.684634,-1.6476371,5.226502,19.906372,0.5085974,15.875617,7.3474965,-1.1547498,4.8456697,9.1263,6.993075,-0.19250982,8.027246,9.007619,12.429962,-2.7248807,17.912067,6.6800876,-4.158403,5.73861,14.959438,8.559901,Abdi
5.7720027,75.88682,4.7169247,-2.2045987,-203.72314,8.448185,5.682767,37.00145,20.04691,-1.316395,4.771468,94.2103,-1.6876236,2.443042,20.798813,4.715153,-11.147521,21.690964,-2.7952,7.481507,19.364498,-0.1729089,18.396748,8.390871,-4.9732695,5.9385448,12.4592285,8.15952,-2.6843815,10.279746,9.933856,11.271816,-5.190564,17.907534,6.9031067,-4.703177,5.310548,12.513988,9.151255,Abdi
6.073254,82.11149,4.3601193,-1.1146272,-197.89767,9.148615,7.1658034,35.53796,19.533428,0.15577751,5.523639,95.90739,-1.0043389,2.0213277,20.10649,3.9671278,-12.842253,18.976162,-2.9846373,6.239211,18.786406,-0.86665475,18.623217,8.564401,-3.4546654,5.0581436,13.777606,8.038072,-2.7552447,8.044612,10.338824,12.001427,-3.3607779,17.683474,7.698271,-3.26113,6.1402426,14.315213,10.137253,Abdi
7.1692095,77.15017,3.9227405,-2.8114154,-213.66385,9.362855,6.7708673,36.067017,21.266731,1.0668067,4.7183385,95.05741,-3.266961,1.3726012,21.88541,5.3631496,-10.55739,17.81934,-3.2007716,6.22796,19.891947,-1.2511123,17.528437,8.5374975,-3.8065224,5.2537007,12.31833,7.782836,-1.0427257,10.275096,10.412671,8.00225,-3.712304,18.609377,6.5433936,-4.2897334,5.906983,12.293182,10.609895,Abdi
7.8494267,63.051315,3.1994762,-3.9218442,-187.17723,7.438659,6.373286,38.858795,24.045395,0.33232465,2.999352,97.08646,-1.9368877,0.98025405,19.87386,4.431736,-10.570185,17.00313,-2.6411233,5.024166,20.617815,1.8998,15.1480055,7.2899337,-3.0927718,3.5811288,9.04069,7.873034,0.048256744,11.636944,9.311136,11.252597,-3.7573829,15.345121,5.8321953,-5.311148,4.5041246,14.084231,9.445879,Abdi
6.7835054,67.24577,3.3930178,-2.590426,-191.72269,7.5028677,5.2301426,37.201645,23.53474,-1.743145,2.6974196,96.51725,-1.6731994,2.01398,20.873951,4.827876,-10.364145,11.576292,-2.4258025,6.776589,19.11339,0.040984593,15.438745,6.332613,-1.6042143,4.543944,10.231972,7.6120944,1.4013526,9.729619,9.077916,10.372851,-3.5352173,15.709452,4.1331434,-6.247417,5.1965847,13.148021,8.242661,Abdi
7.8763423,61.923084,3.317035,-2.2746108,-181.34152,7.4991117,6.3207607,37.34012,25.824574,-0.7274888,3.5469396,96.321495,-0.828082,3.906781,19.506422,4.967882,-9.632961,13.635533,-0.31094578,7.184761,19.011215,1.296242,13.891071,5.8367534,-2.9648356,5.3838906,10.731707,6.3095675,1.2036355,9.854316,9.662356,9.048161,-4.8618665,16.901134,4.3847017,-4.914768,4.1078763,15.543552,8.314899,Abdi
7.3868084,53.764877,4.4512887,-1.2757072,-183.28424,7.414772,5.2381444,38.108685,24.777672,0.12714013,4.1949377,91.68151,-0.36934128,0.2754033,16.710247,3.7541761,-7.019424,14.6635895,-2.215629,5.429567,19.864029,1.0897253,12.596088,5.2383337,-1.8220775,3.7657888,9.85966,7.5701194,0.71387,10.356744,8.059419,12.889161,-2.2743545,17.441917,6.6069884,-5.173748,3.9560826,14.829194,7.813396,Abdi
6.702313,55.381317,3.1151333,-4.8659964,-191.6295,7.239173,5.3904963,37.169083,25.31641,0.38388485,3.0657346,91.68022,-1.5896864,1.5980415,20.244707,4.315039,-7.4110923,14.456136,-3.6649258,6.0485873,17.573935,2.4837391,11.921176,5.8382177,-2.1001215,2.8526142,8.801426,7.551081,-0.14676337,11.402873,10.302735,12.589034,-2.4984055,18.050508,5.071416,-4.0135465,4.8238897,15.978495,7.546154,Abdi
8.489478,43.324917,3.9216833,-6.1344857,-169.2612,6.263944,6.3446827,37.551018,25.984118,-0.8732836,3.059354,97.684525,-1.6170294,0.7479363,15.139107,4.2824655,-5.982867,10.871182,-2.3501384,3.3310578,18.611462,1.6708266,9.549405,4.4985023,-1.6957414,5.1904383,7.719912,4.667659,-0.6185131,5.221211,8.470442,12.494711,-2.0139263,13.071387,1.2961266,-1.3493781,5.446371,14.939557,6.437289,Abdi
